num,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,-0.16076,0.65405,-0.02046,-0.02867,0.0214,-0.08626,0.23122,-0.312002
0.0,-2.17603,-1.54443,-0.3716,-0.03062,0.07462,0.28532,0.254419,-0.103456
0.0,-3.13786,1.43267,-0.08153,0.04018,-0.01815,0.09049,-0.181291,0.410604
0.0,-1.33634,-1.63603,-0.20366,-0.02525,0.07658,0.19792,0.366471,-0.118423
0.0,-0.2829,-0.87267,-0.47847,0.02749,-0.04549,0.04704,-0.695765,0.397651
0.0,-0.09969,-2.8116,-0.1426,0.00307,0.02531,-0.23177,0.108751,0.013172
0.0,-0.1913,0.86779,-0.28,0.01333,-0.01913,-0.23226,-0.082027,0.057116
0.0,0.52626,-1.57496,0.49863,0.02163,-0.02987,0.10124,-0.280898,0.202093
0.0,1.94611,1.2342,0.30015,-0.00425,0.03117,-0.04476,0.606134,-0.077817
0.0,0.49573,1.87542,-0.26473,0.02651,-0.03426,-0.26009,-0.130311,0.100706
0.0,-2.3287,1.82962,-0.35634,-0.01744,0.02042,-0.18978,0.106765,-0.091097
0.0,-2.20656,-0.99481,-0.02046,0.0187,-0.01034,0.02506,-0.319274,0.603718
0.0,-2.63405,3.96702,-0.20366,0.03432,-0.02645,-0.53988,-0.048855,0.063411
0.0,-7.07679,-2.79634,-1.18076,-0.01841,0.01164,0.23356,0.049624,-0.078577
0.0,-6.35924,1.86015,-1.56244,0.02504,0.01701,-0.5682,0.029893,0.044028
0.0,2.00718,-3.8345,0.33069,-0.02037,0.06291,0.4445,0.140441,-0.045335
0.0,-2.74092,4.71511,-0.28,0.03383,-0.00448,-0.31722,-0.014034,0.106242
0.0,-0.61878,3.17313,0.08641,0.00747,0.00138,-0.14974,0.009216,0.049815
0.0,-0.84779,-0.55206,-0.60061,0.03676,-0.0162,0.11979,-0.128543,0.295238
0.0,-2.46611,-1.51389,-0.60061,-0.04429,0.059,0.14274,0.375986,-0.279274
0.0,-0.86305,-0.96427,-0.1884,0.006,0.00333,-0.02376,0.135232,0.245042
0.0,1.15221,1.50901,0.16275,0.0309,-0.00887,-0.12923,-0.06667,0.234189
0.0,-0.48137,2.44031,0.54443,0.07973,-0.07625,-0.29476,-0.244721,0.256123
0.0,-1.99282,2.80672,-0.86015,0.0143,-0.06014,-0.28988,-0.204328,0.048271
0.0,-0.93939,-0.39939,-0.4174,0.00795,-0.066,0.07584,-0.713404,0.078949
0.0,-1.74855,1.05099,-0.61588,0.01088,0.05753,0.17985,0.309085,0.057575
0.0,-3.01573,0.94412,-0.67695,-0.01158,0.02287,0.00065,1.101489,-0.468511
0.0,-0.60351,-1.98718,-0.24947,-0.01451,0.04923,0.22868,0.211647,-0.061938
0.0,-0.26763,0.98992,-0.05099,-0.06919,0.07462,-0.03402,0.769051,-0.700829
0.0,-1.06153,-2.29252,0.19328,-0.02867,0.01554,0.30143,0.051284,-0.094693
0.0,1.59496,-0.64366,0.68183,0.00551,0.04826,0.03629,0.920466,0.091045
0.0,-0.80198,1.66168,-0.55481,-0.01646,0.03019,-0.14632,0.202231,-0.109727
0.0,0.35832,0.15023,0.20855,0.01625,-0.0367,-0.05892,-0.540792,0.230015
0.0,-0.00809,-2.30779,0.04061,-0.02964,0.00675,0.32438,0.020729,-0.091112
0.0,-1.77908,1.53954,-0.81435,0.027,-0.00838,-0.0975,-0.082684,0.269192
0.0,-1.47374,0.36397,-0.29527,0.00747,0.01554,-0.18343,0.084457,0.040533
0.0,-3.48901,2.56244,-0.47847,-0.00816,0.00675,-0.18294,0.036859,-0.044539
0.0,-0.42031,-1.54443,0.23908,0.00991,-0.0035,0.13883,-0.025148,0.071218
0.0,0.15985,2.08916,-0.26473,-0.00816,0.03654,-0.22982,0.157569,-0.035048
0.0,0.49573,0.13496,0.04061,-0.00425,-0.0284,-0.01839,-0.984178,-0.125026
0.0,-1.61115,1.1426,-0.3258,-0.0023,0.01359,0.06852,0.195671,-0.03291
0.0,-1.09206,-0.15511,-0.11206,0.04897,-0.07479,0.15592,-0.429174,0.275949
0.0,0.93847,1.12733,0.81924,-0.00816,-0.0367,0.17545,-0.206005,-0.045486
0.0,0.37359,0.69985,0.34595,0.00454,-8e-05,-0.32503,-0.000255,0.013955
0.0,1.10641,2.66931,0.05588,-0.05796,-0.04549,-0.28646,-0.154418,-0.197243
0.0,-1.67221,3.81435,0.22382,-0.00279,0.02335,-0.27083,0.086014,-0.010256
0.0,-0.25237,-3.71237,-0.28,-0.03257,0.04093,0.14225,0.273463,-0.216603
