num,time,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,195245287.0,-0.028466320100027514,0.050160762702317035,0.003961897402027128,0.042,0.052,-0.056,0.6389139850038871,0.5025323084323057
0.0,195342765.0,-0.06230825429619756,0.04483750848373433,-0.006161012259539983,-0.001,-0.034,-0.361,-0.09390546020249771,-0.002757871367513514
0.0,195440300.0,0.022689280275926284,-0.06148794954776023,0.003961897402027128,-0.069,0.002,0.522,0.0037983593175397504,-0.1314210611620605
0.0,195537806.0,0.05546656362837979,-0.013788101090755204,0.0010297442586766543,-0.008,0.053,-0.054,0.7706266245180001,-0.10533960756675342
0.0,195635302.0,-0.0007504915783575617,0.0011344640137963143,-3.490658503988659e-05,0.023,0.1,-0.024,1.2498721372791737,0.22002824532384513
0.0,195732766.0,0.007243116395776467,0.0003316125578789226,0.007958701389094143,-0.015,-0.107,-0.166,-0.5707043789575591,-0.0758050473529438
0.0,195830300.0,0.028029987787028934,-0.030054569719342353,0.005567600313861911,0.003,0.044,0.098,0.42183006041781024,0.027919361817564367
0.0,195927829.0,-0.0079412480965742,0.020856684561332238,-0.0010995574287564276,0.039,0.008,-0.167,0.046615220647750255,0.22916754206218304
0.0,196025317.0,-0.021275563581810878,-0.01033234917180643,-0.0027052603405912107,0.044,0.074,-0.077,0.6953765846030119,0.39081454901006263
0.0,196122811.0,0.0029845130209103037,-0.02045525883337354,-0.0005585053606381855,-0.035,-0.056,-0.157,-0.33501849899837244,-0.20696605225306533
0.0,196220311.0,-0.004485496177625427,0.039235001584832535,-0.0027052603405912107,0.003,-0.062,-0.142,-0.41158952897787965,0.01935927119081354
0.0,196317846.0,-0.0004886921905584122,-0.0068591439603377154,0.007435102613495843,0.036,-0.027,-0.163,-0.16035746589482697,0.21453672363478732
0.0,196415330.0,0.005899212871740834,0.029373891311064566,0.003961897402027128,0.008,0.021,-0.237,0.08832674136778845,0.033610875634731
0.0,196512834.0,0.04454080251089529,-0.06496115475922895,0.013020156219877699,-0.012,0.003,-0.049,0.05939723186668525,-0.2397391538638262
0.0,196610334.0,0.014974924982111348,-0.03830997708127553,0.0005061454830783556,0.018,-0.009,-0.053,-0.1594266305281829,0.32309640891828667
0.0,196707858.0,0.03895574890451344,-0.012723450247038663,0.005026548245743669,0.001,-0.033,-0.063,-0.4824615231002707,0.014059891491368702
0.0,196805347.0,0.04614650542273008,-0.05403539364174444,0.008220500776893291,0.044,0.051,0.137,0.34061741396907885,0.29236375415866567
0.0,196902852.0,-0.003420845333908886,-0.032969269570172884,-0.0005585053606381855,0.018,-0.039,-0.05,-0.6331121508290913,0.2765852492122776
0.0,197000347.0,0.013631021458075715,-0.016982053621904827,-0.000296705972839036,-0.038,-0.039,0.023,-0.7205340665440759,-0.6982373004053162
0.0,197097858.0,0.024556782575560217,0.04003785304074992,0.00476474885794452,0.039,-0.018,-0.405,-0.04421097283499398,0.09590619526623327
0.0,197195383.0,0.009896016858807848,0.036041049053682904,0.000767944870877505,0.01,-0.049,-0.173,-0.27557083728245485,0.05555843122607442
0.0,197292865.0,-0.003944444109507185,-0.0009948376736367678,-0.0019024088846738192,0.013,0.009,-0.134,0.0667510039890438,0.09649621587383969
0.0,197390361.0,-0.003944444109507185,0.011519173063162575,0.0060911990894602095,0.019,0.055,-0.016,1.1465902148031526,0.32028328493502256
0.0,197487874.0,0.11035716860360147,-0.01619665545850738,0.010367255756846317,0.02,0.045,-0.064,0.5910784743726183,0.25027428693315223
